"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","98","4","1","25.395454","0","1780"
"/Engine/Tutorial/SubEditors/TutorialAssets/M_smoke_subUV_blackbody.M_smoke_subUV_blackbody","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Models/Character/BlendyTheCubeMaterial.BlendyTheCubeMaterial","0","48","2","1","11.910097","0","347"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Models/Enemies/Material_003.Material_003","0","12","12","1","3.874444","0","19"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","0","33","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset02.BasicAsset02","0","0","21","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Blueprints/Misc/NebMaterial.NebMaterial","0","36","2","1","9.680758","0","109"
"/Game/Models/Environment/Material.Material","0","24","8","1","6.165253","0","62"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","0","21","1","0.000000","0","0"
"/Game/Models/Environment/Material_005.Material_005","0","24","10","1","5.873085","0","62"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","0","48","8","1","11.903258","0","180"
"/DatasmithContent/Materials/FBXImporter/VRED/MetallicCarpaint.MetallicCarpaint","0","0","57","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/MAT_LevelColorationLitLightmapUV.MAT_LevelColorationLitLightmapUV","0","0","962","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleOpaque.M_SimpleOpaque","0","0","12","1","0.000000","0","0"
"/Game/Models/Misc/Material.Material","0","12","12","1","0.000000","0","18"
"/Game/Models/Environment/Chest_Mat.Chest_Mat","0","34","10","1","8.918987","0","130"
"/Game/Models/Enemies/FrontColor.FrontColor","0","24","8","1","6.490082","0","66"
"/Engine/Functions/Engine_MaterialFunctions02/ExampleContent/3dParticleOpacity_Mat.3dParticleOpacity_Mat","0","0","48","1","0.000000","0","0"
"/Game/Models/Enemies/Bone_Texture.Bone_Texture","0","12","12","1","3.671140","0","20"
"/Engine/EditorMaterials/Thumbnails/FloorPlaneMaterial.FloorPlaneMaterial","0","0","21","1","0.000000","0","0"
"/Engine/EditorShellMaterials/M_ShellMaster.M_ShellMaster","0","0","42","2","0.000000","0","0"
"/Game/Models/Environment/Material_002.Material_002","0","12","12","1","3.837435","0","22"
"/Game/Models/Environment/Material_001.Material_001","0","12","12","1","3.854738","0","22"
"/Game/Models/Environment/Material_003.Material_003","0","12","12","1","3.823528","0","20"
"/Game/Models/Environment/Boc_Mat.Boc_Mat","0","12","12","1","4.233309","0","22"
"/Game/Models/Enemies/Material_005.Material_005","0","12","12","1","0.000000","0","14"
"/Game/Models/Enemies/FrontColorReducedAlpha.FrontColorReducedAlpha","0","56","1","1","17.281145","0","274"
"/Game/Animations/Environment/Material.Material","0","24","8","1","0.000000","0","62"
"/Game/Animations/Enemies/Walk/FrontColor.FrontColor","0","24","6","1","6.686222","0","62"
"/Game/Animations/Enemies/Hit/FrontColor.FrontColor","0","24","6","1","0.000000","0","62"
"/Game/Animations/Enemies/Death/FrontColor.FrontColor","0","24","6","1","0.000000","0","62"
"/Game/Animations/Characters/Run/Material_001.Material_001","0","24","4","1","6.731613","0","77"
"/Game/Animations/Characters/RangedAttack/Material_001.Material_001","0","24","4","1","0.000000","0","62"
"/Game/Animations/Characters/OpenDoor/Material_001.Material_001","0","24","3","1","0.000000","0","66"
"/Game/Animations/Characters/OpenChest/Material_001.Material_001","0","24","4","1","0.000000","0","67"
"/Game/Animations/Characters/MeleeAttack/Material_001.Material_001","0","24","4","1","0.000000","0","85"
"/Game/Animations/Characters/Idle/Material_001.Material_001","0","24","4","1","0.000000","0","62"
"/Game/Animations/Characters/Hit/Material_001.Material_001","0","24","4","1","0.000000","0","62"
